中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
154.211.8.231,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.233,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.238,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.254,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.10,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.199,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.239,443,0.0.0.0,CN,San Jose,官方,175 ms,null Mbps,null kB/s
154.211.8.215,443,0.0.0.0,CN,San Jose,官方,1164 ms,null Mbps,null kB/s
27.50.48.4,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.229,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.1,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
154.211.8.248,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.243,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.15,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.14,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
154.211.8.252,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.19,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.6,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.156,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
154.211.8.253,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.17,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.11,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
154.211.8.242,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.16,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
27.50.48.8,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
154.211.8.251,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.7,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
154.211.8.247,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.48.25,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.20,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.227,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.237,443,0.0.0.0,CN,San Jose,官方,177 ms,null Mbps,null kB/s
154.211.8.232,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.48.21,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.245,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.27,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.23,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.5,443,0.0.0.0,CN,San Jose,官方,1181 ms,null Mbps,null kB/s
27.50.48.0,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.240,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.28,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.250,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.24,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.217,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.48.12,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.30,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.225,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.18,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
154.211.8.206,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.29,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.3,443,0.0.0.0,CN,San Jose,官方,1190 ms,null Mbps,null kB/s
154.211.8.249,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.31,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.13,443,0.0.0.0,CN,San Jose,官方,1176 ms,null Mbps,null kB/s
27.50.48.47,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.34,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.2,443,0.0.0.0,CN,San Jose,官方,1167 ms,null Mbps,null kB/s
27.50.48.48,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.32,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.35,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.38,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.51,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.48.46,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.48.41,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.48.56,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.43,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.42,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.39,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.44,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.60,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.65,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.61,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.66,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.45,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.57,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.49,443,0.0.0.0,CN,San Jose,官方,176 ms,null Mbps,null kB/s
27.50.48.52,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.48.53,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.36,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.48.67,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.50,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.48.76,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.68,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.48.55,443,0.0.0.0,CN,San Jose,官方,183 ms,null Mbps,null kB/s
27.50.48.72,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.37,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.74,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.54,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.73,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.59,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.40,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.70,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.82,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.33,443,0.0.0.0,CN,San Jose,官方,177 ms,null Mbps,null kB/s
27.50.48.64,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.48.80,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.83,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.63,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.75,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.9,443,0.0.0.0,CN,San Jose,官方,171 ms,null Mbps,null kB/s
154.211.8.235,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.84,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.96,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.90,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.85,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.22,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.86,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.91,443,0.0.0.0,CN,San Jose,官方,178 ms,null Mbps,null kB/s
27.50.48.97,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.71,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.95,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.88,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.93,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.48.92,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.105,443,0.0.0.0,CN,San Jose,官方,165 ms,null Mbps,null kB/s
27.50.48.104,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.99,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.78,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.101,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.89,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.58,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.81,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.114,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.110,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.115,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.107,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.69,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.112,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.98,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.94,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.121,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.119,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.48.116,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.103,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.118,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.79,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.48.125,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.100,443,0.0.0.0,CN,San Jose,官方,1177 ms,null Mbps,null kB/s
27.50.48.77,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.48.117,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.122,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.48.134,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.124,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.113,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.120,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.132,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.87,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.137,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.102,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
27.50.48.126,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.138,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.141,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.139,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.133,443,0.0.0.0,CN,San Jose,官方,176 ms,null Mbps,null kB/s
27.50.48.136,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.131,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.135,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.128,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.62,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.148,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.130,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.111,443,0.0.0.0,CN,San Jose,官方,1180 ms,null Mbps,null kB/s
27.50.48.150,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.140,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.149,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.155,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.151,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.147,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.145,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.129,443,0.0.0.0,CN,San Jose,官方,1182 ms,null Mbps,null kB/s
27.50.48.153,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.48.106,443,0.0.0.0,CN,San Jose,官方,1179 ms,null Mbps,null kB/s
27.50.48.26,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.152,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.158,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.156,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.160,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.142,443,0.0.0.0,CN,San Jose,官方,1177 ms,null Mbps,null kB/s
27.50.48.165,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.181,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.167,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.154,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.178,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
27.50.48.187,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.173,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.159,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.146,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.168,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.163,443,0.0.0.0,CN,San Jose,官方,174 ms,null Mbps,null kB/s
27.50.48.169,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.157,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.185,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.188,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.184,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.166,443,0.0.0.0,CN,San Jose,官方,222 ms,null Mbps,null kB/s
27.50.48.164,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.186,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.189,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.48.109,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.171,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.48.180,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.176,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.191,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.183,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.172,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.48.177,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.161,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.162,443,0.0.0.0,CN,San Jose,官方,1170 ms,null Mbps,null kB/s
27.50.48.192,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.193,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.182,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.48.195,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.194,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.48.197,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.205,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.214,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.123,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.48.179,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.48.198,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.211,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.170,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.221,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.224,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.204,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.143,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.200,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.213,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.210,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.48.217,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.196,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.208,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.48.203,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.216,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.48.174,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.207,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.48.209,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.220,443,0.0.0.0,CN,San Jose,官方,183 ms,null Mbps,null kB/s
27.50.48.219,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.231,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.218,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.232,443,0.0.0.0,CN,San Jose,官方,165 ms,null Mbps,null kB/s
27.50.48.222,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.238,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.48.240,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.48.190,443,0.0.0.0,CN,San Jose,官方,1149 ms,null Mbps,null kB/s
27.50.48.241,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.48.206,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.48.228,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.233,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.201,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.48.234,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.230,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.202,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.48.244,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.48.247,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.48.226,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
27.50.48.175,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.250,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.199,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.251,443,0.0.0.0,CN,San Jose,官方,181 ms,null Mbps,null kB/s
27.50.48.225,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.6,443,0.0.0.0,CN,San Jose,官方,183 ms,null Mbps,null kB/s
27.50.49.4,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.48.243,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.48.248,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.249,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.3,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.48.246,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.48.227,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.48.235,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.20,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.8,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.48.127,443,0.0.0.0,CN,San Jose,官方,0 ms,null Mbps,null kB/s
27.50.48.242,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.48.254,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.2,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.215,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.49.5,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.48.236,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
27.50.49.23,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.49.17,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.9,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.48.252,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.48.144,443,0.0.0.0,CN,San Jose,官方,1166 ms,null Mbps,null kB/s
27.50.49.21,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.14,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
27.50.49.10,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.49.19,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.7,443,0.0.0.0,CN,San Jose,官方,178 ms,null Mbps,null kB/s
27.50.49.16,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.26,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.11,443,0.0.0.0,CN,San Jose,官方,1157 ms,null Mbps,null kB/s
27.50.49.25,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.18,443,0.0.0.0,CN,San Jose,官方,171 ms,null Mbps,null kB/s
27.50.48.212,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.12,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.31,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.36,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.24,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.22,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.48.237,443,0.0.0.0,CN,San Jose,官方,1170 ms,null Mbps,null kB/s
27.50.49.41,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.35,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
